genome	E25	E31	H19	H40	H45	P33	E44	E56	H06	H43	P05	P65	P75	H09	H47	P43	P45	E18	E48	H34	H37	P09	P64	E58	P36	P58	E27	H08	H20	H23	P53	E34	H16	H25	P14	P34	P51	P60	P72	H32	P48	H07	H12	P01	E30	H10	P47	P67	P79	H39	P25
PK_bin.51	376	764	1956	881	7852	18017	30	78	1646	257	330	60	7273	14670	5923	22858	48	291	660	3225	8850	176	921	598	84	104	59	1231	4175	225	159	531	9155	16062	65	1691	46991	37483	116	242	937	1055	860	23635	8007	19208	78	192	8275	2510	116
PK_bin.52	472765	95	2909	646	692	8945	14456	6628	413	607	433	970	3925	1449	2868	31120	488	98260	28534	5039	1606	234	173	123688	1071	5406	154015	1814	12968	2088	174	564606	592548	1438	335	273	11032156	442	665604	457	946	1331	3020	333	3925	2071	294	22610	7238	93	32077
PK_bin.53	1441	631	1483	12637	176499	30817	134	1450	3488	7242	1293	204	16864	11915	33254	6463	60	10553	1182	17005	2262	940	751	1479	713	1210	277	236282	8023	645	436	2571	3114	1650	63	2559	3622	2309	39	1434	6426	1970	3621	3467841	3725	2234	224	612	43018	375	138
PK_bin.54	78	171	163	127	485	3377	217	219761	198	884	1289	52300	139	187	670	27483	71	1486	2380	52	841	1164	130725	15	11930	55	69438	12	53	73	476	49666	184	52	30	469	191	381	18	2045	916182	530	272	84	439	85	147581	55	239	467	153
PK_bin.55	42	2	108	278	325	54	0	11	13	19	13	20	425	127	49	48	4452	423	71	140	4361	6	30	23	0	1831	26	29	28	10	463	19	39	88	21	794	170	575243	37	8	992	70	84	147	58	246	60	0	1291	38	0
PK_bin.56	53	0	6	81	0	10	38	74	0	82	2	61	253755	41	2	273	30	366	990	142	37	127	0	21	60	70	12	13	66	430	0	225	2	25	25	0	1494287	23	16	0	16	2	179	98	177	48	16	64	38	0	2
PK_bin.57	38	2	190	49	119302	53	10	14	2122	5238	752	131	105802	51	23263	583	372	571	332	260	1350	687	209	153	34	61	109	30	51	2	512	64	303	18212	153	1021	8418	1863	256	1031	1633	291	100	81	47	185	147	24	2275454	303	11
PK_bin.58	2348	521	4638	881	3015	204891	580	72870	474	1996	5160	36384	3938	2483	2014	9467	93	10169	38315	1383	10552	3523	78767	378	1028	241	13036	288	2448	433	21171	63733	5371	1062	205	2130	5309	6788	365	4382	7083894	1758	2028	1089	3799	1795	137835	7090	4916	1350	286
PK_bin.59	530	86	284	14	321	1805	240	672463	17	514	827	514720	454	30	410	20860	342	662	22959	134	937	636	58758	73	1139	201	103429	45	170	401	335	56978	65	221	119	312	454	670	81	1113	1017024	348	1903	149	1079	139	116082	181	469	266	14
PK_bin.5	25	1	88	71	57	549	2	0	5	11	33	16	73	146	26	29	26740	34	57	19	341	130	137	6	0	40	10	0	61	1	580	13	64	50	15	35	103	357248	37	66	4386	12	75	26	5	59	1556	452	556	113	191
PK_bin.60	4054	222	86	54	97	8891	215	48583	72	170	195	98289	86	152	100	40490	52	251	46992	49	431	167	3839	16	13244	43	13327	4	75	67	226	54903	141	82	27	64	115	186	24	238	293140	108	375	46	2803	25	187	65	142	71	69
PK_bin.61	1336	14	98	45	11	1234	78	107	6	199	8	7	10	1279	419	342	10	163	7081	47	89	20	5	10	381	1007	31	27	381	173	16	1626	4715	721	2842	23	452	47	199	118	20	599	164	98	359	206	23	1485744	9	26	137
PK_bin.62	30	88	37	733	48	81	91	0	38	1	5	0	99	111	24	25	9	61	68	4	65	8	6	12	0	21	0	3	33	32	31	181	18	9	2	284	149	16	1	5	489	8	2	9	15	41	2	26	78	0	51
PK_bin.63	191	104	355	140	980	2285	110	301569	130	1623	2589	172041	213	133	1383	3578	159	5211	13703	54	2233	2129	264773	42	1555	98	94481	17	81	117	947	38473	123	104	56	1252	240	1183	47	4067	2232273	993	597	155	369	172	58265	49	683	940	79
PK_bin.64	18886	42	11963	1945	1025	6145	572	761	20	648	3853	326	556	3952	2823	2540	199	4589	665	3711	778	1904	330	6757	1443	57398	1083	1198	6271	2774	20	7702	223440	1363	611679	567	21250	9363	2874	1486	1206	2851	1226	514	442	664	1433	6843523	7441	417	7444
PK_bin.65	142	272	8	61	27	19	0	0	0	196	80	2	79	21	38	155040	8	309	53788	97	0	54	34	4	27	4	24	0	6	2	10	28773	13	12	1	10	101	3	0	132	109	28	49	1	13248	0	4	24	0	28	0
PK_bin.66	520612	87	29	363	78	2382	58	54	11	279	956	5	227	1899	677	932	9	446510	716	306	59	294	63	184	654	64	617	24	932	348	23	2267	2275	709	361	167	602	27	796	398	574	3001	410	160	326	653	34	1356	247	90	81
PK_bin.68	1497	193	43	172	747	2682	422	211	38	696	12586	9	21	1795	1017	1262	6	950	80	29	166	2022	322	43479	715	251	8	19272	771	316	60	1678	2756	539	847	550	697	4	41	1697	1382	1582	325	184	201	198	28	2859391	6	993	1043040
PK_bin.69	163	39	182	23	49	71	171	780412	4	89	115	925944	877	15	98	963	522	143	10291	158	116	111	17230	116	332	191	1858	43	110	580	31	6393	8	309	154	46	1377	408	105	220	15118	48	3164	152	1251	108	17447	193	424	37	4
